ID,Class
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,1
13,0
14,1
15,1
16,0
17,1
18,0
19,1
20,1
21,0
22,0
23,1
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,0
39,0
40,1
41,0
42,0
43,1
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,1
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,0
66,1
67,1
68,1
69,0
70,1
71,0
72,0
73,1
74,0
75,1
76,0
77,1
78,0
79,0
80,0
81,0
82,1
83,1
84,1
85,1
86,0
87,0
88,0
89,1
90,1
91,0
92,0
93,0
94,0
95,1
96,0
97,1
98,0
99,1
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,1
124,0
125,0
126,1
127,1
128,0
129,1
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,1
139,0
140,0
141,0
142,1
143,1
144,0
145,0
146,0
147,0
148,0
149,1
150,0
151,1
152,0
153,0
154,0
155,1
156,1
157,0
158,0
159,1
160,1
161,0
162,1
163,0
164,1
165,1
166,0
167,1
168,1
169,0
170,1
171,1
172,1
173,1
174,1
175,1
176,0
177,0
178,0
179,1
180,0
181,0
182,1
183,1
184,0
185,1
186,0
187,1
188,1
189,0
190,0
191,1
192,0
193,0
194,0
195,1
196,0
197,1
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,1
215,0
216,1
217,0
218,0
219,1
220,0
221,1
222,1
223,0
224,0
225,0
226,1
227,1
228,0
229,1
230,0
231,0
232,1
233,1
234,1
235,1
236,0
237,0
238,0
239,1
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,1
261,0
262,0
263,1
264,0
265,0
266,1
267,0
268,0
269,1
270,1
271,0
272,1
273,1
274,0
275,0
276,1
277,0
278,0
279,0
280,1
